Results for illegal audios:

    audio name = 260-123286-0008.wav, index = 23, energy = 0.000000
    audio name = 237-126133-0008.wav, index = 381, energy = 0.000043
    audio name = 237-126133-0019.wav, index = 45, energy = 0.000043
    audio name = 237-126133-0004.wav, index = 285, energy = 0.000054
    audio name = 237-126133-0024.wav, index = 384, energy = 0.000040
    audio name = 237-126133-0022.wav, index = 389, energy = 0.000042
    audio name = 237-126133-0006.wav, index = 36, energy = 0.000052
    audio name = 237-126133-0021.wav, index = 416, energy = 0.000038
    audio name = 237-126133-0005.wav, index = 462, energy = 0.000035
    audio name = 237-126133-0011.wav, index = 479, energy = 0.000047
    audio name = 237-126133-0014.wav, index = 133, energy = 0.000039
    audio name = 237-126133-0009.wav, index = 382, energy = 0.000045
    audio name = 237-126133-0017.wav, index = 15, energy = 0.000049
    audio name = 237-126133-0003.wav, index = 623, energy = 0.000051
    audio name = 237-126133-0002.wav, index = 885, energy = 0.000038
    audio name = 237-126133-0020.wav, index = 206, energy = 0.000039
    audio name = 6930-75918-0020.wav, index = 9, energy = 0.000008
    audio name = 6930-76324-0000.wav, index = 299, energy = 0.000007
    audio name = 6930-75918-0004.wav, index = 1084, energy = 0.000014
    audio name = 6930-76324-0002.wav, index = 50, energy = 0.000023
    audio name = 6930-75918-0011.wav, index = 279, energy = 0.000015
    audio name = 6930-75918-0017.wav, index = 606, energy = 0.000011
    audio name = 6930-75918-0006.wav, index = 570, energy = 0.000019
    audio name = 6930-75918-0000.wav, index = 342, energy = 0.000014
    audio name = 6930-76324-0003.wav, index = 145, energy = 0.000015
    audio name = 6930-75918-0010.wav, index = 280, energy = 0.000008
    audio name = 6930-75918-0007.wav, index = 310, energy = 0.000005
    audio name = 6930-75918-0001.wav, index = 1417, energy = 0.000019
    audio name = 6930-75918-0016.wav, index = 983, energy = 0.000011
    audio name = 6930-75918-0008.wav, index = 335, energy = 0.000013
    audio name = 6930-75918-0015.wav, index = 373, energy = 0.000013
    audio name = 6930-76324-0001.wav, index = 305, energy = 0.000024
    audio name = 6930-75918-0013.wav, index = 2, energy = 0.000009
    audio name = 6930-75918-0002.wav, index = 460, energy = 0.000015
    audio name = 6930-75918-0014.wav, index = 34, energy = 0.000014
    audio name = 6930-75918-0009.wav, index = 707, energy = 0.000010
    audio name = 6930-75918-0005.wav, index = 1278, energy = 0.000008
    audio name = 6930-75918-0018.wav, index = 1059, energy = 0.000010
    audio name = 6930-75918-0012.wav, index = 189, energy = 0.000010
    audio name = 6930-75918-0003.wav, index = 2301, energy = 0.000012
    audio name = 6930-75918-0019.wav, index = 559, energy = 0.000010

spk = 1580

  Results for legal audios:

    audio name = 1580-141084-0001.wav, index = 297, energy = 0.000034
    audio name = 1580-141083-0003.wav, index = 115, energy = 0.000059
    audio name = 1580-141083-0047.wav, index = 34, energy = 0.000057
    audio name = 1580-141083-0040.wav, index = 25, energy = 0.000044
    audio name = 1580-141083-0018.wav, index = 223, energy = 0.000084
    audio name = 1580-141083-0029.wav, index = 924, energy = 0.000042
    audio name = 1580-141084-0025.wav, index = 0, energy = 0.000029
    audio name = 1580-141083-0042.wav, index = 567, energy = 0.000036
    audio name = 1580-141084-0019.wav, index = 31, energy = 0.000044
    audio name = 1580-141084-0033.wav, index = 552, energy = 0.000030
    audio name = 1580-141083-0017.wav, index = 190, energy = 0.000044
    audio name = 1580-141083-0051.wav, index = 25, energy = 0.000047
    audio name = 1580-141084-0045.wav, index = 13, energy = 0.000051
    audio name = 1580-141083-0037.wav, index = 236, energy = 0.000066
    audio name = 1580-141084-0044.wav, index = 278, energy = 0.000037
    audio name = 1580-141084-0020.wav, index = 276, energy = 0.000025
    audio name = 1580-141083-0050.wav, index = 291, energy = 0.000058
    audio name = 1580-141083-0009.wav, index = 682, energy = 0.000090
    audio name = 1580-141084-0040.wav, index = 570, energy = 0.000033
    audio name = 1580-141084-0000.wav, index = 433, energy = 0.000033
    audio name = 1580-141084-0027.wav, index = 147, energy = 0.000032
    audio name = 1580-141084-0024.wav, index = 772, energy = 0.000037
    audio name = 1580-141084-0002.wav, index = 14, energy = 0.000038
    audio name = 1580-141083-0045.wav, index = 31, energy = 0.000052
    audio name = 1580-141084-0007.wav, index = 23, energy = 0.000031
    audio name = 1580-141083-0052.wav, index = 20, energy = 0.000056
    audio name = 1580-141083-0023.wav, index = 300, energy = 0.000047
    audio name = 1580-141084-0030.wav, index = 26, energy = 0.000032
    audio name = 1580-141083-0036.wav, index = 358, energy = 0.000054
    audio name = 1580-141084-0049.wav, index = 375, energy = 0.000019
    audio name = 1580-141084-0004.wav, index = 484, energy = 0.000048
    audio name = 1580-141084-0039.wav, index = 0, energy = 0.000028
    audio name = 1580-141083-0021.wav, index = 362, energy = 0.000039
    audio name = 1580-141083-0015.wav, index = 276, energy = 0.000044
    audio name = 1580-141084-0029.wav, index = 497, energy = 0.000040
    audio name = 1580-141083-0004.wav, index = 405, energy = 0.000073
    audio name = 1580-141083-0020.wav, index = 116, energy = 0.000050
    audio name = 1580-141083-0006.wav, index = 1044, energy = 0.000093
    audio name = 1580-141083-0033.wav, index = 160, energy = 0.000066
    audio name = 1580-141083-0005.wav, index = 245, energy = 0.000060
    audio name = 1580-141083-0053.wav, index = 390, energy = 0.000061
    audio name = 1580-141083-0035.wav, index = 227, energy = 0.000062
    audio name = 1580-141084-0037.wav, index = 272, energy = 0.000035
    audio name = 1580-141083-0013.wav, index = 417, energy = 0.000052
    audio name = 1580-141083-0041.wav, index = 341, energy = 0.000038
    audio name = 1580-141083-0026.wav, index = 52, energy = 0.000055
    audio name = 1580-141083-0034.wav, index = 19, energy = 0.000052
    audio name = 1580-141083-0001.wav, index = 1015, energy = 0.000073
    audio name = 1580-141084-0026.wav, index = 10, energy = 0.000033
    audio name = 1580-141084-0006.wav, index = 17, energy = 0.000061
    audio name = 1580-141083-0011.wav, index = 36, energy = 0.000072
    audio name = 1580-141084-0009.wav, index = 22, energy = 0.000032
    audio name = 1580-141083-0031.wav, index = 22, energy = 0.000048
    audio name = 1580-141084-0038.wav, index = 160, energy = 0.000027
    audio name = 1580-141084-0032.wav, index = 18, energy = 0.000040
    audio name = 1580-141083-0010.wav, index = 91, energy = 0.000084
    audio name = 1580-141083-0025.wav, index = 0, energy = 0.000064
    audio name = 1580-141083-0046.wav, index = 11, energy = 0.000029
    audio name = 1580-141083-0032.wav, index = 396, energy = 0.000074
    audio name = 1580-141084-0041.wav, index = 779, energy = 0.000029
    audio name = 1580-141084-0028.wav, index = 226, energy = 0.000033
    audio name = 1580-141084-0011.wav, index = 49, energy = 0.000045
    audio name = 1580-141083-0049.wav, index = 203, energy = 0.000035
    audio name = 1580-141083-0022.wav, index = 326, energy = 0.000056
    audio name = 1580-141084-0022.wav, index = 192, energy = 0.000040
    audio name = 1580-141083-0038.wav, index = 155, energy = 0.000023
    audio name = 1580-141083-0027.wav, index = 32, energy = 0.000054
    audio name = 1580-141083-0016.wav, index = 221, energy = 0.000050
    audio name = 1580-141084-0014.wav, index = 363, energy = 0.000025
    audio name = 1580-141083-0007.wav, index = 175, energy = 0.000126
    audio name = 1580-141083-0048.wav, index = 20, energy = 0.000045
    audio name = 1580-141084-0017.wav, index = 91, energy = 0.000058
    audio name = 1580-141084-0013.wav, index = 190, energy = 0.000037
    audio name = 1580-141083-0043.wav, index = 252, energy = 0.000053
    audio name = 1580-141084-0042.wav, index = 11, energy = 0.000031
    audio name = 1580-141084-0015.wav, index = 175, energy = 0.000032
    audio name = 1580-141084-0016.wav, index = 113, energy = 0.000039
    audio name = 1580-141084-0043.wav, index = 198, energy = 0.000026
    audio name = 1580-141083-0028.wav, index = 253, energy = 0.000045
    audio name = 1580-141084-0012.wav, index = 37, energy = 0.000037
    audio name = 1580-141083-0012.wav, index = 346, energy = 0.000055
    audio name = 1580-141084-0010.wav, index = 348, energy = 0.000023
    audio name = 1580-141084-0046.wav, index = 227, energy = 0.000033
    audio name = 1580-141083-0039.wav, index = 366, energy = 0.000037
    audio name = 1580-141083-0030.wav, index = 16, energy = 0.000061
    audio name = 1580-141083-0024.wav, index = 243, energy = 0.000055
    audio name = 1580-141083-0014.wav, index = 254, energy = 0.000064
    audio name = 1580-141084-0003.wav, index = 381, energy = 0.000033
    audio name = 1580-141084-0008.wav, index = 657, energy = 0.000037
    audio name = 1580-141084-0018.wav, index = 128, energy = 0.000025
    audio name = 1580-141083-0008.wav, index = 424, energy = 0.000084
    audio name = 1580-141084-0034.wav, index = 27, energy = 0.000036
    audio name = 1580-141084-0023.wav, index = 847, energy = 0.000027
    audio name = 1580-141084-0021.wav, index = 239, energy = 0.000033
    audio name = 1580-141083-0019.wav, index = 8, energy = 0.000053
    audio name = 1580-141084-0047.wav, index = 482, energy = 0.000037
    audio name = 1580-141083-0044.wav, index = 220, energy = 0.000038
    audio name = 1580-141084-0035.wav, index = 244, energy = 0.000020
    audio name = 1580-141083-0002.wav, index = 586, energy = 0.000099
    audio name = 1580-141083-0000.wav, index = 878, energy = 0.000043
    audio name = 1580-141084-0031.wav, index = 642, energy = 0.000021
    audio name = 1580-141084-0036.wav, index = 29, energy = 0.000044
    audio name = 1580-141084-0005.wav, index = 245, energy = 0.000037

  Results for adversarial audios:

    audio name = 260-123286-0008.wav, index = 260, energy = 0.001043
    audio name = 260-123286-0019.wav, index = 1174, energy = 0.000869
    audio name = 260-123286-0003.wav, index = 727, energy = 0.000830
    audio name = 260-123286-0005.wav, index = 244, energy = 0.000776
    audio name = 260-123286-0014.wav, index = 43, energy = 0.000974
    audio name = 260-123286-0016.wav, index = 649, energy = 0.001043
    audio name = 260-123286-0015.wav, index = 247, energy = 0.001094
    audio name = 260-123286-0021.wav, index = 35, energy = 0.001092
    audio name = 260-123286-0018.wav, index = 546, energy = 0.000864
    audio name = 260-123286-0001.wav, index = 196, energy = 0.000834
    audio name = 260-123286-0012.wav, index = 212, energy = 0.001026
    audio name = 260-123286-0009.wav, index = 310, energy = 0.000647
    audio name = 260-123286-0010.wav, index = 119, energy = 0.000756
    audio name = 260-123286-0013.wav, index = 11, energy = 0.001154
    audio name = 260-123286-0020.wav, index = 50, energy = 0.001225
    audio name = 260-123286-0022.wav, index = 311, energy = 0.001097
    audio name = 260-123286-0002.wav, index = 584, energy = 0.000902
    audio name = 260-123286-0024.wav, index = 11, energy = 0.000779
    audio name = 260-123286-0017.wav, index = 372, energy = 0.000690
    audio name = 260-123286-0004.wav, index = 41, energy = 0.001275
    audio name = 260-123286-0023.wav, index = 525, energy = 0.000965
    audio name = 260-123286-0011.wav, index = 273, energy = 0.000981
    audio name = 260-123286-0007.wav, index = 177, energy = 0.001116
    audio name = 260-123286-0000.wav, index = 311, energy = 0.000760
    audio name = 260-123286-0006.wav, index = 139, energy = 0.000917
    audio name = 6829-68769-0008.wav, index = 449, energy = 0.001256
    audio name = 6829-68769-0001.wav, index = 917, energy = 0.001161
    audio name = 6829-68769-0017.wav, index = 17, energy = 0.002192
    audio name = 6829-68769-0006.wav, index = 238, energy = 0.001205
    audio name = 6829-68769-0014.wav, index = 340, energy = 0.001208
    audio name = 6829-68769-0020.wav, index = 507, energy = 0.001008
    audio name = 6829-68769-0022.wav, index = 286, energy = 0.001449
    audio name = 6829-68769-0010.wav, index = 186, energy = 0.001955
    audio name = 6829-68769-0000.wav, index = 7, energy = 0.001172
    audio name = 6829-68769-0005.wav, index = 7, energy = 0.001247
    audio name = 6829-68769-0019.wav, index = 14, energy = 0.001986
    audio name = 6829-68769-0018.wav, index = 478, energy = 0.001205
    audio name = 6829-68769-0004.wav, index = 410, energy = 0.002019
    audio name = 6829-68769-0007.wav, index = 191, energy = 0.001772
    audio name = 6829-68769-0013.wav, index = 130, energy = 0.001259
    audio name = 6829-68769-0003.wav, index = 264, energy = 0.002362
    audio name = 6829-68769-0023.wav, index = 485, energy = 0.001151
    audio name = 6829-68769-0016.wav, index = 406, energy = 0.001132
    audio name = 6829-68769-0024.wav, index = 12, energy = 0.001003
    audio name = 6829-68769-0009.wav, index = 13, energy = 0.001536
    audio name = 6829-68769-0011.wav, index = 8, energy = 0.001221
    audio name = 6829-68769-0002.wav, index = 41, energy = 0.001025
    audio name = 6829-68769-0015.wav, index = 1, energy = 0.001094
    audio name = 6829-68769-0012.wav, index = 296, energy = 0.001372
    audio name = 6829-68769-0021.wav, index = 592, energy = 0.001086
    audio name = 237-126133-0015.wav, index = 433, energy = 0.000883
    audio name = 237-126133-0023.wav, index = 574, energy = 0.001664
    audio name = 237-126133-0012.wav, index = 310, energy = 0.001425
    audio name = 237-126133-0001.wav, index = 971, energy = 0.001056
    audio name = 237-126133-0018.wav, index = 191, energy = 0.001371
    audio name = 237-126133-0000.wav, index = 748, energy = 0.001077
    audio name = 237-126133-0007.wav, index = 123, energy = 0.001683
    audio name = 237-126133-0013.wav, index = 401, energy = 0.001140
    audio name = 237-126133-0010.wav, index = 372, energy = 0.000914
    audio name = 237-126133-0016.wav, index = 135, energy = 0.001003
    audio name = 237-126133-0008.wav, index = 209, energy = 0.001413
    audio name = 237-126133-0019.wav, index = 371, energy = 0.001176
    audio name = 237-126133-0006.wav, index = 593, energy = 0.001847
    audio name = 237-126133-0021.wav, index = 33, energy = 0.001177
    audio name = 237-126133-0005.wav, index = 269, energy = 0.001141
    audio name = 237-126133-0011.wav, index = 27, energy = 0.001145
    audio name = 237-126133-0014.wav, index = 292, energy = 0.001064
    audio name = 237-126133-0009.wav, index = 158, energy = 0.001457
    audio name = 237-126133-0017.wav, index = 137, energy = 0.001344
    audio name = 237-126133-0003.wav, index = 630, energy = 0.001019
    audio name = 237-126133-0002.wav, index = 873, energy = 0.001162
    audio name = 237-126133-0020.wav, index = 21, energy = 0.001658
    audio name = 6930-75918-0020.wav, index = 732, energy = 0.000856
    audio name = 6930-76324-0000.wav, index = 275, energy = 0.001427
    audio name = 6930-75918-0004.wav, index = 281, energy = 0.001152
    audio name = 6930-76324-0002.wav, index = 50, energy = 0.001477
    audio name = 6930-75918-0011.wav, index = 146, energy = 0.001691
    audio name = 6930-75918-0017.wav, index = 519, energy = 0.001418
    audio name = 6930-75918-0006.wav, index = 422, energy = 0.001077
    audio name = 6930-75918-0000.wav, index = 299, energy = 0.002067
    audio name = 6930-75918-0010.wav, index = 152, energy = 0.001793
    audio name = 6930-75918-0007.wav, index = 140, energy = 0.001763
    audio name = 6930-75918-0001.wav, index = 1403, energy = 0.000958
    audio name = 6930-75918-0016.wav, index = 85, energy = 0.001090
    audio name = 6930-75918-0008.wav, index = 166, energy = 0.001089
    audio name = 6930-75918-0015.wav, index = 478, energy = 0.001704
    audio name = 6930-76324-0001.wav, index = 84, energy = 0.001805
    audio name = 6930-75918-0013.wav, index = 137, energy = 0.001694
    audio name = 6930-75918-0002.wav, index = 379, energy = 0.001866
    audio name = 6930-75918-0014.wav, index = 975, energy = 0.000926
    audio name = 6930-75918-0009.wav, index = 549, energy = 0.001559
    audio name = 6930-75918-0005.wav, index = 14, energy = 0.001252
    audio name = 6930-75918-0018.wav, index = 841, energy = 0.001070
    audio name = 6930-75918-0012.wav, index = 41, energy = 0.002216
    audio name = 6930-75918-0003.wav, index = 1023, energy = 0.001112
    audio name = 6930-75918-0019.wav, index = 199, energy = 0.000857


spk = 2830

  Results for legal audios:

    audio name = 2830-3980-0076.wav, index = 467, energy = 0.000083
    audio name = 2830-3980-0048.wav, index = 1023, energy = 0.000064
    audio name = 2830-3980-0038.wav, index = 548, energy = 0.000052
    audio name = 2830-3980-0014.wav, index = 42, energy = 0.000078
    audio name = 2830-3980-0016.wav, index = 219, energy = 0.000082
    audio name = 2830-3980-0030.wav, index = 516, energy = 0.000075
    audio name = 2830-3980-0042.wav, index = 34, energy = 0.000068
    audio name = 2830-3980-0027.wav, index = 209, energy = 0.000054
    audio name = 2830-3979-0011.wav, index = 722, energy = 0.000024
    audio name = 2830-3980-0069.wav, index = 0, energy = 0.000047
    audio name = 2830-3980-0031.wav, index = 51, energy = 0.000054
    audio name = 2830-3980-0041.wav, index = 2, energy = 0.000049
    audio name = 2830-3980-0056.wav, index = 16, energy = 0.000076
    audio name = 2830-3980-0017.wav, index = 161, energy = 0.000064
    audio name = 2830-3980-0020.wav, index = 336, energy = 0.000068
    audio name = 2830-3980-0008.wav, index = 23, energy = 0.000010
    audio name = 2830-3980-0011.wav, index = 404, energy = 0.000049
    audio name = 2830-3980-0013.wav, index = 23, energy = 0.000052
    audio name = 2830-3980-0000.wav, index = 32, energy = 0.000012
    audio name = 2830-3980-0070.wav, index = 215, energy = 0.000050
    audio name = 2830-3980-0036.wav, index = 571, energy = 0.000050
    audio name = 2830-3980-0060.wav, index = 6, energy = 0.000125
    audio name = 2830-3979-0003.wav, index = 801, energy = 0.000026
    audio name = 2830-3979-0008.wav, index = 925, energy = 0.000020
    audio name = 2830-3980-0019.wav, index = 447, energy = 0.000068
    audio name = 2830-3980-0058.wav, index = 49, energy = 0.000064
    audio name = 2830-3980-0044.wav, index = 313, energy = 0.000076
    audio name = 2830-3980-0045.wav, index = 39, energy = 0.000079
    audio name = 2830-3979-0005.wav, index = 201, energy = 0.000030
    audio name = 2830-3980-0022.wav, index = 37, energy = 0.000070
    audio name = 2830-3980-0043.wav, index = 192, energy = 0.000087
    audio name = 2830-3980-0047.wav, index = 299, energy = 0.000084
    audio name = 2830-3980-0062.wav, index = 255, energy = 0.000068
    audio name = 2830-3980-0053.wav, index = 41, energy = 0.000050
    audio name = 2830-3980-0067.wav, index = 7, energy = 0.000069
    audio name = 2830-3980-0004.wav, index = 347, energy = 0.000010
    audio name = 2830-3979-0002.wav, index = 391, energy = 0.000032
    audio name = 2830-3979-0006.wav, index = 446, energy = 0.000029
    audio name = 2830-3980-0049.wav, index = 326, energy = 0.000063
    audio name = 2830-3980-0018.wav, index = 2, energy = 0.000072
    audio name = 2830-3980-0071.wav, index = 34, energy = 0.000047
    audio name = 2830-3979-0004.wav, index = 166, energy = 0.000026
    audio name = 2830-3980-0065.wav, index = 5, energy = 0.000062
    audio name = 2830-3980-0025.wav, index = 12, energy = 0.000035
    audio name = 2830-3980-0009.wav, index = 9, energy = 0.000014
    audio name = 2830-3980-0001.wav, index = 27, energy = 0.000011
    audio name = 2830-3980-0040.wav, index = 2, energy = 0.000076
    audio name = 2830-3979-0009.wav, index = 22, energy = 0.000031
    audio name = 2830-3980-0066.wav, index = 579, energy = 0.000070
    audio name = 2830-3980-0023.wav, index = 593, energy = 0.000053
    audio name = 2830-3980-0073.wav, index = 365, energy = 0.000041
    audio name = 2830-3980-0054.wav, index = 652, energy = 0.000066
    audio name = 2830-3980-0012.wav, index = 168, energy = 0.000036
    audio name = 2830-3980-0051.wav, index = 609, energy = 0.000055
    audio name = 2830-3980-0064.wav, index = 38, energy = 0.000058
    audio name = 2830-3979-0007.wav, index = 129, energy = 0.000024
    audio name = 2830-3980-0046.wav, index = 2, energy = 0.000064
    audio name = 2830-3980-0007.wav, index = 11, energy = 0.000008
    audio name = 2830-3979-0001.wav, index = 1589, energy = 0.000024
    audio name = 2830-3980-0021.wav, index = 2, energy = 0.000075
    audio name = 2830-3979-0000.wav, index = 486, energy = 0.000020
    audio name = 2830-3980-0026.wav, index = 12, energy = 0.000061
    audio name = 2830-3980-0074.wav, index = 553, energy = 0.000054
    audio name = 2830-3980-0057.wav, index = 780, energy = 0.000065
    audio name = 2830-3980-0063.wav, index = 209, energy = 0.000052
    audio name = 2830-3980-0061.wav, index = 582, energy = 0.000054
    audio name = 2830-3980-0028.wav, index = 343, energy = 0.000069
    audio name = 2830-3980-0032.wav, index = 334, energy = 0.000070
    audio name = 2830-3980-0059.wav, index = 48, energy = 0.000090
    audio name = 2830-3980-0015.wav, index = 259, energy = 0.000082
    audio name = 2830-3980-0072.wav, index = 178, energy = 0.000072
    audio name = 2830-3980-0033.wav, index = 8, energy = 0.000055
    audio name = 2830-3980-0034.wav, index = 283, energy = 0.000081
    audio name = 2830-3980-0003.wav, index = 29, energy = 0.000024
    audio name = 2830-3980-0035.wav, index = 32, energy = 0.000052
    audio name = 2830-3979-0010.wav, index = 25, energy = 0.000024
    audio name = 2830-3979-0012.wav, index = 333, energy = 0.000025
    audio name = 2830-3980-0005.wav, index = 584, energy = 0.000012
    audio name = 2830-3980-0039.wav, index = 49, energy = 0.000047
    audio name = 2830-3980-0024.wav, index = 52, energy = 0.000055
    audio name = 2830-3980-0029.wav, index = 20, energy = 0.000062
    audio name = 2830-3980-0006.wav, index = 2, energy = 0.000011
    audio name = 2830-3980-0002.wav, index = 23, energy = 0.000014
    audio name = 2830-3980-0068.wav, index = 487, energy = 0.000067
    audio name = 2830-3980-0052.wav, index = 25, energy = 0.000068
    audio name = 2830-3980-0050.wav, index = 24, energy = 0.000067
    audio name = 2830-3980-0055.wav, index = 376, energy = 0.000067
    audio name = 2830-3980-0037.wav, index = 0, energy = 0.000078
    audio name = 2830-3980-0010.wav, index = 305, energy = 0.000055

  Results for adversarial audios:

    audio name = 260-123286-0008.wav, index = 174, energy = 0.001275
    audio name = 260-123286-0019.wav, index = 1182, energy = 0.001191
    audio name = 260-123286-0003.wav, index = 89, energy = 0.001634
    audio name = 260-123286-0005.wav, index = 138, energy = 0.001920
    audio name = 260-123286-0014.wav, index = 44, energy = 0.001784
    audio name = 260-123286-0016.wav, index = 654, energy = 0.001371
    audio name = 260-123286-0015.wav, index = 386, energy = 0.001554
    audio name = 260-123286-0021.wav, index = 237, energy = 0.002202
    audio name = 260-123286-0018.wav, index = 13, energy = 0.001839
    audio name = 260-123286-0001.wav, index = 298, energy = 0.001618
    audio name = 260-123286-0012.wav, index = 5, energy = 0.002124
    audio name = 260-123286-0009.wav, index = 178, energy = 0.002186
    audio name = 260-123286-0010.wav, index = 242, energy = 0.002203
    audio name = 260-123286-0013.wav, index = 463, energy = 0.002049
    audio name = 260-123286-0020.wav, index = 291, energy = 0.001878
    audio name = 260-123286-0022.wav, index = 7, energy = 0.001685
    audio name = 260-123286-0002.wav, index = 169, energy = 0.001560
    audio name = 260-123286-0024.wav, index = 230, energy = 0.001457
    audio name = 260-123286-0017.wav, index = 4, energy = 0.002235
    audio name = 260-123286-0004.wav, index = 153, energy = 0.002161
    audio name = 260-123286-0023.wav, index = 26, energy = 0.001545
    audio name = 260-123286-0011.wav, index = 403, energy = 0.001340
    audio name = 260-123286-0007.wav, index = 200, energy = 0.001324
    audio name = 260-123286-0000.wav, index = 136, energy = 0.001679
    audio name = 260-123286-0006.wav, index = 726, energy = 0.001808
    audio name = 6829-68769-0008.wav, index = 325, energy = 0.001942
    audio name = 6829-68769-0001.wav, index = 422, energy = 0.001135
    audio name = 6829-68769-0017.wav, index = 19, energy = 0.001758
    audio name = 6829-68769-0006.wav, index = 512, energy = 0.001741
    audio name = 6829-68769-0014.wav, index = 149, energy = 0.002823
    audio name = 6829-68769-0022.wav, index = 239, energy = 0.002510
    audio name = 6829-68769-0010.wav, index = 53, energy = 0.002702
    audio name = 6829-68769-0000.wav, index = 666, energy = 0.001788
    audio name = 6829-68769-0005.wav, index = 360, energy = 0.001886
    audio name = 6829-68769-0019.wav, index = 217, energy = 0.002014
    audio name = 6829-68769-0018.wav, index = 647, energy = 0.002221
    audio name = 6829-68769-0004.wav, index = 22, energy = 0.001436
    audio name = 6829-68769-0007.wav, index = 361, energy = 0.001939
    audio name = 6829-68769-0013.wav, index = 22, energy = 0.001671
    audio name = 6829-68769-0003.wav, index = 392, energy = 0.002102
    audio name = 6829-68769-0023.wav, index = 464, energy = 0.002248
    audio name = 6829-68769-0016.wav, index = 52, energy = 0.001994
    audio name = 6829-68769-0009.wav, index = 13, energy = 0.002242
    audio name = 6829-68769-0011.wav, index = 439, energy = 0.001696
    audio name = 6829-68769-0002.wav, index = 189, energy = 0.002211
    audio name = 6829-68769-0015.wav, index = 27, energy = 0.002102
    audio name = 6829-68769-0021.wav, index = 591, energy = 0.001715
    audio name = 237-126133-0015.wav, index = 11, energy = 0.001489
    audio name = 237-126133-0023.wav, index = 628, energy = 0.001237
